Source,Target,Weight
Kassadin,Ryze,0.08129637688500484
Aatrox,Ezreal,0.08102228131561837
Blitzcrank,Vayne,0.08094992642582235
Ahri,Kassadin,0.08088903618669246
Jax,Jayce,0.08081597761063586
Graves,Lucian,0.08069951702362792
Kennen,Vladimir,0.08060689524052717
Janna,Rakan,0.08029085479213663
Nocturne,Pantheon,0.08027005799404005
Cassiopeia,Ezreal,0.08026515216873469
Akali,Lucian,0.07989102338752574
Ahri,Xerath,0.07980067708751637
Hecarim,Pantheon,0.079536206795024
Blitzcrank,Lulu,0.07946754927974575
Aatrox,Ryze,0.07939584980926678
Fiddlesticks,Soraka,0.07929469077485218
Brand,Nautilus,0.07923163769775787
Ezreal,Kayn,0.07914202463309247
Evelynn,Karthus,0.079043901036001
Lux,Nautilus,0.07900150750886613
Jax,Yorick,0.07891154982107754
Brand,Xerath,0.07890308967276927
Corki,Kassadin,0.07883912046224126
Malphite,Shen,0.07873694876449477
Elise,Karthus,0.07871388415264381
Caitlyn,Twitch,0.078681946861763
Garen,Pantheon,0.07848061371327633
Tristana,Twitch,0.07841409995303253
Fiora,Renekton,0.07821006219686244
Draven,Lucian,0.07820947991774158
Morgana,Shen,0.07809260957580996
Lissandra,Sylas,0.07805458215252592
Lux,Veigar,0.07799436153421141
Nidalee,Taliyah,0.07793331217415725
Hecarim,Vladimir,0.07791906333298701
Lux,Pyke,0.07784821015263074
Darius,Ornn,0.07783603191800739
Draven,Ezreal,0.07773491055354392
Urgot,Viktor,0.0776638532064419
Nidalee,Vayne,0.07758571274262005
Azir,Ryze,0.07757343317447607
Kayle,Urgot,0.07749568130149016
Kassadin,Sylas,0.07710265280927069
Veigar,Xerath,0.07699773282263946
Ahri,Thresh,0.07690229837011406
Volibear,Warwick,0.07686094040147695
Kayle,Nasus,0.076859120234643
Brand,Pyke,0.0767007569585347
Blitzcrank,Caitlyn,0.07669834872708295
Rakan,Soraka,0.07662197704919915
Akali,Jayce,0.07653991347423542
Vayne,Viktor,0.07653643397852711
Evelynn,Kindred,0.0765334814408936
Leona,Rakan,0.07646828403555282
Kassadin,Zoe,0.07635033323000277
Camille,Ezreal,0.07624528492943235
Malphite,Nautilus,0.07602577928147491
Renekton,Riven,0.0759452911063749
Jinx,Thresh,0.07593485663549107
Fizz,Vladimir,0.07588040490938733
Hecarim,Renekton,0.07581870258213617
Blitzcrank,Nami,0.07580156029602778
Fiddlesticks,Thresh,0.07578670974078028
Ezreal,Neeko,0.07556102508338272
Alistar,Lux,0.07548307277256606
Lissandra,Morgana,0.07539860227603601
Kassadin,Vayne,0.07536955012571356
Renekton,Sion,0.0753095923183083
Cassiopeia,Ryze,0.07526484339730036
Ornn,Sion,0.07522765312152038
Jax,Kassadin,0.07499511609063372
Amumu,Malphite,0.07457986237526723
Irelia,Talon,0.0744780875153361
Orianna,Ryze,0.07443966627115153
Tristana,Varus,0.0743550703277844
Pyke,Vayne,0.07429785872789865
Gangplank,Vladimir,0.07424667641083238
Riven,Thresh,0.07423428106177603
Ahri,Yasuo,0.07418181463423609
Jinx,Xayah,0.07416027595576599
Ezreal,Kindred,0.07414441801306113
Alistar,Malphite,0.07414328472047747
Ezreal,Veigar,0.07413038928132928
Maokai,Shen,0.07403933917629807
Thresh,Zoe,0.07399850387601341
Braum,Ezreal,0.07399292625560502
Camille,Evelynn,0.07391220069785873
Tristana,Xayah,0.07390137169636396
Blitzcrank,Galio,0.07389922349398025
Ezreal,Hecarim,0.07374858694302071
Akali,Katarina,0.07374298766801965
Morgana,Pantheon,0.07372433161426833
Pyke,Zed,0.07358662917337272
Galio,Nami,0.07351136226655267
Ashe,Kalista,0.07340822363732188
Braum,Zyra,0.07339671837682238
Jax,Nocturne,0.0732779942493105
Lucian,Ryze,0.07327570158225769
Aatrox,Viktor,0.07327251046553203
Graves,Kayn,0.07324880343155851
Galio,Sylas,0.07318935321054203
Jhin,Varus,0.0731123249570555
Jinx,Varus,0.07307969907826725
Jayce,Urgot,0.07305850806277177
Ezreal,Fizz,0.07300446368612887
Nasus,Renekton,0.07286257089684903
Thresh,Vladimir,0.07282342310252068
Amumu,Lux,0.07280453902557521
Ekko,Vladimir,0.07280367556077588
Nasus,Vladimir,0.07275920496511824
Jax,Urgot,0.07270255699417977
Alistar,Shen,0.07262307177847911
Lulu,Nautilus,0.07262306873911953
Akali,Fiora,0.07259685892113867
Kayn,Zed,0.07256704118208482
Talon,Vladimir,0.07248447932134969
Kayle,Ryze,0.07245809553071658
Sylas,Yorick,0.07242051709131411
Darius,Vayne,0.07239059365481168
Lux,Orianna,0.07228087683456746
Jax,Kayn,0.0722519890175361
Morgana,Neeko,0.07222424859846424
Nautilus,Xerath,0.0721423486638471
Orianna,Vladimir,0.07205205028436489
Hecarim,Nocturne,0.07199283318350946
Vladimir,Yorick,0.07198233221536401
Karma,Neeko,0.07193912947133646
Xerath,Zed,0.07189914358045237
Ezreal,Nautilus,0.07182027648274601
Gragas,Nidalee,0.0717368509515759
Kalista,Xayah,0.07170559334169066
Renekton,Rengar,0.07152306531486297
Ahri,Malzahar,0.07133505137057677
Graves,Vayne,0.07131742210201467
Karthus,Kindred,0.07126235995956096
Kayle,Neeko,0.07124513466908787
Ezreal,Teemo,0.07114343931971281
Darius,Malphite,0.07112793659161404
Braum,Taric,0.07112169797148196
Hecarim,Riven,0.07104777460022252
Fiddlesticks,Malphite,0.07096751014832303
Jayce,Kennen,0.0709372790617809
Cassiopeia,Lissandra,0.07087354764699758
Lucian,Pyke,0.07086597987015242
Sylas,Talon,0.07079888653812169
Alistar,Brand,0.07079521258749087
Camille,Fiora,0.07062595210604533
Darius,Illaoi,0.0706100214372292
Galio,Urgot,0.07060424751341743
Aatrox,Camille,0.07056242066676532
Camille,Nidalee,0.07041496003982986
Karma,Rakan,0.07040783608583252
Evelynn,Rammus,0.0703178940844952
Darius,Jayce,0.07031731615179636
Sivir,Twitch,0.07028833063821294
Neeko,Zoe,0.07026014179004039
Sion,Vladimir,0.07022286590289174
Orianna,Vayne,0.07009960413885352
Ezreal,Leona,0.06992390092099035
Ahri,Talon,0.06989029375526096
Corki,Viktor,0.06980374206293513
Kindred,Nocturne,0.06979364239735562
Karma,Zilean,0.06977380767837572
Nami,Pyke,0.06977173217558055
Ezreal,Malphite,0.06973035312336531
Darius,Rengar,0.06954221783574083
Shen,Thresh,0.06953304973509189
Darius,Fiora,0.06935667035500256
Jhin,Thresh,0.06933914267033811
Irelia,Nidalee,0.06932640811234164
Evelynn,Graves,0.06931790410420793
Malzahar,Vladimir,0.06923064204598953
Aatrox,Fiora,0.06922394731505042
Leona,Shen,0.06914451051310708
Darius,Pyke,0.06907529041742613
Evelynn,Kayn,0.06905740233063797
Amumu,Pantheon,0.06896952882118146
Gragas,Karthus,0.06894589172303241
Gragas,Sejuani,0.06892667434814576
Lucian,Morgana,0.06891298689557837
Heimerdinger,Teemo,0.06891202760703427
Malzahar,Orianna,0.06887816209537331
Galio,Karma,0.06868661000776567
Ezreal,Pantheon,0.06865834944460633
Jax,Sion,0.0684340840483729
Jayce,Lissandra,0.06840763916157763
Teemo,Veigar,0.06840279465480126
Lucian,Orianna,0.06837795373833172
Malzahar,Viktor,0.06831284875114488
Aatrox,Riven,0.06826250235579953
Blitzcrank,Veigar,0.06825746121890788
Aatrox,Kayle,0.06824891430917014
Lux,Teemo,0.06815810039214687
Kayle,Yasuo,0.06811494611709215
Brand,Karma,0.06809306262514836
Galio,Malzahar,0.06806792261265662
Evelynn,Sejuani,0.06805193196927684
Ekko,Yasuo,0.06803788385837697
Camille,Taliyah,0.06797504222875997
Bard,Blitzcrank,0.06783644382899273
Rengar,Yasuo,0.0677805374341888
Ekko,Zed,0.06777363773621684
Darius,Ezreal,0.06772576279173673
